input_ville,input_pays,input_aeroport,climat_details,hebergement_moyen_eur_nuit,periode_recommandee,prix_vol_par_mois,tags
Heidelberg,Germany,Paris (CDG),"Au printemps (mars-mai), le temps est doux (8°C à 18°C) avec des parcs fleuris et moins de monde. L'été (juin-août) est chaud (18°C à 25°C) et ensoleillé, idéal pour les activités en plein air mais avec plus de foule. L'automne (septembre-octobre) offre des températures agréables (15°C à 20°C) avec des couleurs vibrantes et des foules modérées. L'hiver (décembre-février) est froid mais propice aux marchés de Noël.",127,Printemps (Mai-début Juin) ou Automne (Septembre-début Octobre),"[185, 170, 190, 210, 155, 180, 195, 190, 175, 165, 150, 170]","[""Château"", ""Ville Universitaire"", ""Vieille Ville"", ""Historique"", ""Romantique"", ""Randonnée"", ""Culture""]"
Hobart,Australia,Paris (CDG),"Hobart a un climat océanique tempéré avec quatre saisons distinctes. Les étés (décembre-février) sont confortables et généralement secs, avec des températures maximales moyennes entre 18 et 25°C. Les hivers (juin-août) sont froids et venteux, avec des températures maximales moyennes entre 3 et 11°C. Le temps peut varier considérablement, même au cours d'une même journée. Hobart est la deuxième capitale d'Australie la plus sèche.",200,"Décembre à Février (été) pour un temps chaud et des activités de plein air, ou Mars à Mai (automne) et Septembre à Novembre (printemps) pour un temps agréable et moins de foule.","[1500, 1400, 1200, 1300, 1100, 1000, 1000, 1050, 1200, 1350, 1400, 1600]","[""Nature"", ""Activités de plein air"", ""Culture"", ""Marchés"", ""Faune"", ""Vues panoramiques"", ""Gastronomie"", ""Festivals""]"
Nagasaki,Japan,Paris (CDG),"Nagasaki bénéficie d'un climat tempéré humide, avec des hivers généralement doux et des étés chauds, humides et pluvieux. Les pluies sont plus fréquentes en été, notamment en juillet. Des typhons peuvent affecter la région de juin à octobre, principalement d'août à début octobre.",70,Printemps (Avril-Mai) et Automne (Septembre-Novembre),"[1385, 1200, 849, 1075, 1150, 1250, 1277, 1300, 1000, 1050, 652, 900]","[""Histoire"", ""Culture"", ""Gastronomie"", ""Vues panoramiques"", ""Patrimoine mondial"", ""Îles""]"
Utrecht,Netherlands,Paris (CDG),"Utrecht bénéficie d'un climat doux et ensoleillé de mi-mai à mi-septembre, avec des températures maximales moyennes atteignant 21-23°C en juin, juillet et août. Les nuits peuvent rester fraîches même pendant les mois les plus chauds. Les hivers (décembre à février) sont froids, avec des températures moyennes autour de 1-4°C. Les précipitations sont réparties tout au long de l'année, juillet étant généralement le mois le plus pluvieux.",138,De mi-mai à mi-septembre,"[145, 150, 160, 170, 180, 200, 210, 220, 190, 175, 165, 170]","[""Tour du Dom"", ""Canaux"", ""Musées"", ""Château de Haar"", ""Cyclisme"", ""Jardins botaniques"", ""Architecture médiévale""]"
Bagan,Myanmar,Paris (CDG),"Bagan se trouve dans la zone sèche du Myanmar, sans hiver distinct. La saison fraîche (Novembre à Février) offre des températures agréables autour de 22-30°C, idéales pour la visite. La saison chaude (Mars à Mai) peut atteindre 40°C ou plus. La saison des pluies (Juin à Octobre) est humide avec des précipitations importantes, surtout en Juillet et Septembre.",50,Novembre à Février,"[1400, 1350, 1100, 950, 900, 800, 850, 900, 950, 1100, 1250, 1300]","[""Temples"", ""Pagodes"", ""Archéologie"", ""Culture"", ""Histoire"", ""Lever de soleil"", ""Coucher de soleil"", ""Montgolfière"", ""Fleuve Irrawaddy""]"
Malmö,Sweden,Paris (CDG),"Malmö bénéficie d'un climat océanique tempéré. Les étés (juin à août) sont doux et confortables avec des températures moyennes maximales de 20 à 23°C. Les hivers (décembre à février) sont longs, très froids, neigeux et nuageux, avec des températures moyennes minimales autour de 1 à 2°C. Les précipitations sont modérées tout au long de l'année, avec une moyenne de 54 mm par mois.",90,Juin à Septembre,"[200, 190, 250, 280, 320, 350, 400, 380, 260, 220, 180, 290]","[""Culture"", ""Histoire"", ""Nature"", ""Architecture"", ""Gastronomie"", ""Vélo""]"
Amsterdam,Netherlands,Paris (CDG),"Amsterdam bénéficie d'un climat océanique, doux et humide, influencé par la mer du Nord et l'océan Atlantique. Les étés sont doux et variables, avec des températures diurnes moyennes de 20 à 24 °C. Les hivers sont frais, humides et souvent venteux, avec des températures diurnes de 3 à 7 °C. Les précipitations sont réparties tout au long de l'année, et le vent souffle fréquemment, surtout de novembre à mars. L'ensoleillement est modéré, avec plus d'heures en été.",198,"Le printemps (avril-mai) et le début de l'automne (septembre-octobre) sont souvent considérés comme les meilleures périodes pour visiter Amsterdam, offrant des températures agréables, la floraison des tulipes au printemps et moins de foule. L'été est dynamique mais plus cher et très fréquenté, tandis que l'hiver est plus froid mais propose des tarifs plus abordables et une ambiance festive.","[165, 170, 138, 188, 195, 150, 200, 200, 160, 165, 203, 164]","[""Canaux"", ""Musées"", ""Vélo"", ""Vie nocturne"", ""Culture"", ""Architecture"", ""Tulipes""]"
New York,United States,Paris (CDG),"New York connaît quatre saisons distinctes. Les hivers (décembre à mars) sont très froids, avec des températures souvent en dessous de 0°C et de la neige. Les étés (juillet à août) sont chauds et humides, avec des températures atteignant fréquemment 30°C et des épisodes de canicule. Le printemps et l'automne offrent des températures plus douces et agréables, idéales pour la visite, bien que les averses soient plus fréquentes au printemps.",362,Printemps (avril à juin) et Automne (septembre à octobre),"[438, 438, 460, 570, 620, 620, 680, 700, 580, 543, 500, 530]","[""Culture"", ""Shopping"", ""Visites urbaines"", ""Musées"", ""Spectacles"", ""Gastronomie"", ""Saisons marquées""]"
Chicago,United States,Paris (CDG),"Chicago a un climat continental avec des hivers froids et souvent enneigés, des étés chauds et humides, et des printemps et automnes aux températures plus modérées. Le lac Michigan a une influence modératrice sur les températures et peut augmenter les chutes de neige. Les changements de température sont fréquents.",189,Avril à Mai et Septembre à Octobre,"[407, 380, 450, 480, 520, 650, 700, 680, 580, 550, 524, 524]","[""Architecture"", ""Musées"", ""Culture"", ""Musique"", ""Lac Michigan"", ""Gratte-ciel"", ""Gastronomie"", ""City trip"", ""Festivals""]"
Raleigh,United States,Paris (CDG),"Raleigh a un climat subtropical humide avec des étés très chauds et humides, souvent orageux, et des hivers courts et froids. Les températures annuelles varient généralement de 0 °C à 32 °C. Les précipitations sont plus importantes en été. La saison des ouragans s'étend de juin à novembre, avec une probabilité plus élevée d'août à octobre.",165,Avril à Mai et Septembre à Novembre,"[560, 580, 650, 700, 750, 800, 850, 800, 436, 680, 620, 900]","[""Culture"", ""Nature"", ""Musées"", ""Gastronomie"", ""Vie étudiante""]"
Trondheim,Norway,Paris (CDG),"Le climat de Trondheim est modérément continental, avec des hivers longs, froids et enneigés (températures moyennes autour de -4°C à 2°C) et des étés doux (températures moyennes autour de 11°C à 19°C). Les précipitations sont présentes toute l'année, avec les mois de septembre, octobre et août étant les plus pluvieux.",109,"Juin à Août pour la douceur estivale, ou Décembre à Février pour les aurores boréales et sports d'hiver.","[250, 250, 270, 280, 300, 350, 400, 350, 250, 250, 250, 250]","[""Aurores Boréales"", ""Cathédrale de Nidaros"", ""Bakklandet"", ""Fjord"", ""Sports d'hiver"", ""Nature""]"
Bruges,Belgium,Paris (CDG),"Climat tempéré, avec des étés doux (moyenne 17-21°C) et des hivers frais (moyenne 4-7°C). Les précipitations sont modérées, plus fréquentes en été et en automne/hiver.",170,Mai à Septembre,"[180, 120, 130, 180, 190, 220, 250, 250, 140, 180, 170, 230]","[""Canaux"", ""Architecture médiévale"", ""Patrimoine UNESCO"", ""Romantique"", ""Chocolat"", ""Bière"", ""Culture"", ""Musées""]"
Reykjavik,Iceland,Paris (CDG),"Climat océanique subpolaire. Étés courts, frais (max 14°C) et nuageux. Hivers longs, très froids (autour de 0°C), neigeux, venteux et souvent couverts. Le temps est souvent instable avec des précipitations fréquentes toute l'année.",250,Juin à août pour des températures douces et de longues journées ; septembre à mars pour l'observation des aurores boréales.,"[199, 180, 132, 200, 250, 290, 340, 322, 270, 220, 170, 150]","[""Aurores boréales"", ""Nature & Volcans"", ""Randonnée""]"
Seoul,South Korea,Paris (CDG),"Séoul bénéficie d'un climat continental humide avec quatre saisons distinctes. Les hivers sont froids et secs (moyenne de janvier : -3°C), tandis que les étés sont chauds et humides avec une saison des pluies intense en juillet et août (moyenne d'août : 27-29°C). Le printemps et l'automne offrent un temps doux et agréable.",75,Mai à Juin et Septembre à Octobre,"[620, 680, 650, 850, 780, 800, 950, 900, 820, 870, 700, 750]","[""Culture"", ""Histoire"", ""Moderne"", ""Gastronomie"", ""Shopping"", ""Paysages urbains""]"
Ankara,Turkey,Paris (CDG),"Ankara bénéficie d'un climat continental caractérisé par des étés chauds, secs et ensoleillés, où les températures maximales moyennes atteignent 30-31°C en juillet et août. Les hivers sont très froids, neigeux et partiellement nuageux, avec des températures minimales moyennes autour de -5°C en janvier. Les précipitations sont relativement faibles tout au long de l'année.",70,"Avril à Octobre, avec les mois de Mai, Juin, Septembre et Octobre étant particulièrement recommandés pour un temps agréable sans chaleur excessive.","[250, 280, 240, 330, 380, 420, 480, 500, 350, 360, 280, 300]","[""Culture"", ""Histoire"", ""Musées"", ""Monuments"", ""Citadelle"", ""Gastronomie""]"
Kyoto,Japan,Paris (CDG),"Climat tempéré humide avec des hivers doux (1-9°C en janvier) et des étés chauds, humides et pluvieux (jusqu'à 33°C en août). La saison des pluies (Tsuyu) s'étend de début juin à mi-juillet.",185,"Printemps (fin mars à mai) et Automne (mi-octobre à fin novembre) pour le climat doux et les paysages (cerisiers en fleurs, feuilles d'automne).","[650, 750, 900, 950, 700, 900, 1000, 1000, 850, 900, 700, 800]","[""temples"", ""sanctuaires"", ""jardins japonais"", ""bambouseraie"", ""cérémonie du thé"", ""culture"", ""gastronomie"", ""Gion"", ""histoire""]"
Tampa,United States,Paris (CDG),"Climat subtropical humide avec des étés longs, chauds, humides et pluvieux (mai à octobre) et des hivers courts, doux, frais et secs (novembre à avril).",180,"Octobre à Mai (particulièrement Février, Mars, Novembre et Décembre)","[500, 450, 600, 600, 700, 800, 900, 850, 750, 650, 550, 565]","[""Parcs d'attractions"", ""Plages"", ""Vie nocturne"", ""Culture"", ""Faune et flore marines"", ""Sports""]"
Dublin,Ireland,Paris (CDG),"Dublin bénéficie d'un climat océanique tempéré, frais et humide tout au long de l'année. Les précipitations sont régulières, y compris en été. Les hivers sont froids mais rarement en dessous de 0°C, tandis que les étés sont doux, avec juillet comme mois le plus chaud (moyenne max 19°C).",140,Mai à Septembre,"[80, 70, 150, 120, 100, 110, 130, 125, 50, 60, 35, 40]","[""Culture"", ""Pubs"", ""Nature""]"
Washington,United States,Paris (CDG),"Washington D.C. a un climat subtropical humide. Les étés (juin-août) sont chauds, lourds et humides, avec des températures atteignant souvent 30-35°C et des orages. Les hivers (décembre-février) sont froids, avec des températures moyennes autour de 2-3°C, des gelées et des chutes de neige possibles. Le printemps (avril-mai) et l'automne (septembre-octobre) sont doux et agréables, avec des températures moyennes autour de 15-20°C.",210,"Avril à Mai et Septembre à Octobre (Printemps et Automne, pour le climat doux et les floraisons/feuillages)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Politique"", ""Culture"", ""Histoire"", ""Musées gratuits"", ""Monuments"", ""Capitale"", ""Cerisiers en fleurs""]"
Livingstone,Zambia,Paris (CDG),"Livingstone bénéficie d'un climat semi-aride chaud. La saison sèche, de mai à octobre, est chaude et ensoleillée, avec des températures diurnes agréables. La saison des pluies, de novembre à avril, est très chaude, humide et nuageuse, avec des précipitations importantes de décembre à janvier. Les températures varient généralement entre 9 °C et 34 °C, avec Octobre comme mois le plus chaud et Juin le plus frais.",43.29,Mai à Septembre,"[1031, 0, 0, 0, 1173, 854, 0, 0, 0, 895, 0, 821]","[""Chutes Victoria"", ""Safari"", ""Nature"", ""Aventure"", ""Rafting"", ""Culture""]"
Kraków,Poland,Paris (CDG),"Cracovie bénéficie d'un climat modéré, semi-continental, caractérisé par des hivers froids et souvent enneigés (Janvier: min. -5.5°C, max. 1°C) et des étés tempérés et agréables (Juillet-Août: max. 23.4°C, min. 12.7°C). La ville connaît en moyenne au moins 12 jours de pluie par mois, avec des précipitations plus importantes en été, notamment en Juillet.",106,"Printemps (Avril-Mai) et Automne (Septembre-Octobre) pour éviter les foules et profiter d'un temps agréable, ou l'Été (Juin-Août) pour le temps le plus chaud et les événements culturels.","[80, 80, 85, 110, 130, 140, 170, 175, 125, 105, 80, 180]","[""Patrimoine Mondial UNESCO"", ""Château de Wawel"", ""Quartier Juif Kazimierz"", ""Mines de sel de Wieliczka"", ""Culture"", ""Architecture Historique"", ""City-trip abordable"", ""Auschwitz à proximité""]"
Petra,Jordan,Paris (CDG),"Petra bénéficie d'un climat désertique aride. Les étés (juin-août) sont très chauds et secs, avec des températures diurnes allant de 30°C à 38°C. Les hivers (décembre-février) sont frais, avec des maximales en journée entre 10°C et 16°C et des nuits froides pouvant approcher 0°C. Il y a de fortes variations de température entre le jour et la nuit toute l'année. Les précipitations sont très faibles, presque nulles entre mai et septembre.",85,Printemps (mars à mai) et automne (octobre à novembre). Les températures sont douces et idéales pour l'exploration.,"[90, 120, 180, 250, 280, 350, 500, 450, 300, 150, 180, 300]","[""Historique"", ""Archéologique"", ""Désert"", ""UNESCO"", ""Culture"", ""Randonnée""]"
Athens,Greece,Paris (CDG),"Athènes bénéficie d'un climat méditerranéen semi-aride. Les étés (juin-septembre) sont chauds et secs avec des températures maximales moyennes atteignant 30-33°C. Les printemps et automnes sont doux et ensoleillés, idéals pour le tourisme. Les hivers sont doux avec un peu plus de pluie (décembre-mars) et des températures minimales variant entre 8°C et 12°C.",85,Printemps (avril à juin) et automne (septembre à octobre),"[150, 140, 150, 190, 220, 280, 350, 400, 250, 180, 150, 170]","[""Histoire"", ""Culture"", ""Sites archéologiques"", ""Gastronomie"", ""Vie nocturne"", ""Plages""]"
Malé,Maldives,Paris (CDG),"Climat tropical chaud et humide toute l'année (26-35°C), avec une saison sèche de décembre à avril (peu de pluies, ensoleillement maximum) et une saison humide de mai à novembre (averses brèves mais intenses, mer agitée). La température de l'eau est constante autour de 28°C.",602,Décembre à Avril,"[531, 650, 600, 700, 545, 600, 773, 800, 650, 600, 700, 850]","[""plages"", ""luxe"", ""plongée"", ""snorkeling"", ""détente"", ""sports nautiques"", ""voyage de noces"", ""îles paradisiaques"", ""lagon"", ""océan Indien""]"
Austin,United States,Paris (CDG),"Austin bénéficie d'un climat subtropical humide. Les étés sont très chauds et oppressants, avec des températures moyennes maximales de 35°C en août et pouvant atteindre 39°C. Les hivers sont courts, doux et venteux, avec une température moyenne minimale de 6°C en janvier. La température annuelle varie généralement entre 6°C et 36°C. Les précipitations sont modérées, totalisant environ 920 mm par an, les saisons les plus pluvieuses étant le printemps et l'automne.",118,Début avril à fin mai et mi-septembre à fin octobre,"[551, 650, 800, 850, 900, 1100, 1570, 1400, 1200, 1000, 800, 950]","[""Musique live"", ""Culture éclectique"", ""Activités de plein air"", ""Food trucks"", ""BBQ"", ""Nature"", ""Histoire"", ""Festivals""]"
Pago Pago,American Samoa,Paris (CDG),"Climat équatorial, chaud, humide et pluvieux toute l'année. Les températures moyennes varient de 27.2°C à 28.5°C. La saison sèche, avec moins de précipitations, s'étend de mai à octobre. La saison des pluies va de novembre à avril, avec des risques de cyclones tropicaux entre novembre et mi-mai.",155,Juin à Septembre,"[2350, 2300, 2400, 2400, 2450, 2650, 2750, 2800, 2600, 2500, 2350, 2550]","[""plages"", ""nature"", ""randonnée"", ""culture"", ""îles tropicales"", ""climat équatorial""]"
Luanda,Angola,Paris (CDG),"Le climat de Luanda est tropical aride à semi-aride. Les températures moyennes varient généralement entre 19 °C et 30 °C. Il y a une saison sèche de juin à septembre, caractérisée par un temps plus frais et ensoleillé, et une saison des pluies de novembre à avril, plus chaude, humide et parfois avec des précipitations intenses.",169,"Mai à Septembre, avec Juin et Juillet idéaux pour la météo.","[900, 550, 500, 700, 750, 950, 950, 900, 850, 700, 650, 950]","[""Culture"", ""Histoire"", ""Plages"", ""Gastronomie"", ""Monuments"", ""Musées"", ""Nature"", ""Marchés""]"
New Orleans,United States,Paris (CDG),"La Nouvelle-Orléans bénéficie d'un climat subtropical humide, caractérisé par des étés longs, très chauds et oppressants avec des pluies fréquentes et abondantes. Les hivers sont courts, frais et venteux, tandis que le printemps et l'automne sont doux et agréables. Les températures annuelles varient généralement de 9°C à 34°C. Les mois de juillet, août et juin sont les plus pluvieux.",187,"La meilleure période pour visiter La Nouvelle-Orléans est généralement d'octobre à mai, évitant les mois d'été chauds et humides. Le printemps (avril à juin) et l'automne (octobre à novembre) offrent des températures très agréables (entre 20°C et 30°C au printemps, et 13°C à 23°C en automne) et de nombreux événements. Janvier, février et mars sont également des mois favorables avec un climat doux et la présence de festivités comme Mardi Gras.","[600, 550, 500, 650, 550, 700, 850, 750, 500, 600, 650, 700]","[""Jazz"", ""Mardi Gras"", ""Quartier Français"", ""Gastronomie"", ""Musique"", ""Histoire"", ""Bayou"", ""Festivals"", ""Architecture Créole""]"
Raja Ampat,Indonesia,Paris (CDG),"Climat tropical avec des températures stables toute l'année. Les températures diurnes moyennes sont de 31°C et nocturnes de 25°C. L'humidité relative moyenne est de 83%. La température de surface de l'océan est d'environ 29°C. La saison sèche relative s'étend d'octobre à avril (sauf déc-jan, qui peuvent être très pluvieux). La saison des pluies principales est de mai à septembre, avec juin et juillet comme mois les plus humides.",90,"Octobre à Avril. Décembre et Janvier peuvent être plus pluvieux, et de mi-juin à mi-septembre, les vents forts peuvent rendre la mer agitée pour les petits bateaux.","[960, 915, 866, 961, 1150, 1150, 1150, 1150, 1150, 1150, 971, 1050]","[""Plongée"", ""Biodiversité Marine"", ""Îles Tropicales"", ""Nature"", ""Aventure""]"
Hamilton Island,Australia,Paris (CDG),"Hamilton Island jouit d'un climat tropical, chaud et ensoleillé toute l'année. Les étés (décembre à février) sont chauds et humides, avec des températures variant de 25°C à 32°C. Les hivers (juin à août) sont doux et agréables, avec des températures entre 15°C et 23°C. La température moyenne annuelle est de 25°C, allant de 22°C en juillet à 29°C en février. Le mois le plus chaud est janvier (moyenne de 27.4°C), et le plus froid est juillet (moyenne de 19.6°C). La pluviométrie annuelle est d'environ 2332mm, avec un minimum de 25mm en septembre et un maximum de 516mm en mars. Février est généralement le mois le plus humide (environ 316.5mm sur 16.8 jours).",481.74,"Avril à Novembre (idéal Juin à Octobre pour la météo générale, Janvier à Avril, Novembre et Décembre pour la baignade)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""plage"", ""Grande Barrière de Corail"", ""Whitehaven Beach"", ""snorkeling"", ""voile"", ""golf"", ""randonnée"", ""faune"", ""famille"", ""détente"", ""aventure"", ""luxe"", ""nature""]"
Melbourne,Australia,Paris (CDG),"Melbourne bénéficie d'un climat océanique tempéré avec quatre saisons inversées par rapport à l'hémisphère nord, souvent qualifiée de 'ville aux quatre saisons en un jour' en raison de ses changements météorologiques rapides. L'été (décembre-février) est chaud et ensoleillé avec des températures maximales moyennes de 24-29°C et peu de pluie. Janvier est un mois idéal. L'hiver (juin-août) est plus frais, avec des maximales de 12-14°C et des minimales de 5-8°C, juillet étant le mois le plus froid. Les précipitations sont modérées et réparties sur l'année, avec des étés souvent plus secs.",98,Janvier à Mars,"[1261, 920, 963, 1043, 903, 950, 1374, 842, 615, 980, 1133, 1134]","[""culture"", ""gastronomie"", ""événements sportifs"", ""street art"", ""cafés"", ""road trip"", ""nature urbaine"", ""shopping""]"
Puebla,Mexico,Paris (CDG),"Le climat de Puebla est subtropical, situé à 2 150 mètres d'altitude dans les 'tierras frías'. Il y a une saison sèche de novembre à avril et une saison des pluies de mai à octobre. Les températures varient généralement de 6°C à 26°C. Le mois le plus froid (janvier) a une moyenne de 14°C, et le plus chaud (mai) 19,8°C. Les nuits peuvent être froides en saison sèche, parfois jusqu'à 0°C. Les précipitations sont modérées (970 mm/an), avec un minimum en décembre (5mm) et un maximum en juin/septembre (195mm). La ville bénéficie d'environ 2 875 heures d'ensoleillement par an, la période la plus ensoleillée étant la saison sèche.",48,"Novembre à Avril (saison sèche), avec des conditions agréables de Février à Avril, en Octobre et Novembre. Mars à Mai sont également bons pour les activités estivales.","[1200, 781, 1000, 1147, 1050, 950, 1400, 750, 850, 900, 1000, 803]","[""Ville coloniale"", ""Patrimoine UNESCO"", ""Gastronomie"", ""Talavera"", ""Musées"", ""Volcans"", ""Architecture baroque"", ""Marchés artisanaux"", ""Histoire""]"
Richmond,United States,Paris (CDG),"Le climat de Richmond est tempéré, caractérisé par des hivers relativement froids avec des chutes de neige annuelles et des étés chauds, humides et orageux. Le printemps et l'automne sont doux et agréables.",135,Printemps (mi-avril à mi-mai) et Automne (mi-septembre à mi-octobre),"[730, 700, 750, 800, 880, 910, 940, 920, 880, 800, 570, 650]","[""Histoire"", ""Culture"", ""Art"", ""Gastronomie"", ""Activités de plein air""]"
Bridgetown,Barbados,Paris (CDG),"La Barbade bénéficie d'un climat tropical, chaud toute l'année. La saison sèche s'étend de décembre à avril, offrant des températures élevées et des précipitations modérées. La période la plus agréable, avec un climat plus frais, est de décembre à avril. La saison des pluies va de juin à novembre, avec le maximum de précipitations en novembre, et septembre à novembre étant la période la plus pluvieuse. Cependant, les pluies se présentent souvent sous forme d'averses intenses mais courtes, laissant place à de nombreuses heures d'ensoleillement. Les températures moyennes à Bridgetown varient peu, avec des maximales autour de 29-31°C.",267,"De décembre à avril, avec janvier à mars étant la période idéale pour un climat sec et ensoleillé et pour éviter le risque cyclonique.","[750, 650, 700, 800, 600, 580, 550, 550, 500, 580, 700, 750]","[""plages"", ""tortues marines"", ""rhum"", ""gastronomie locale"", ""sports nautiques"", ""culture créole"", ""sites historiques"", ""jardins tropicaux""]"
Oaxaca City,Mexico,Paris (CDG),"Climat subtropical d'altitude (1550m), avec un hiver très doux et sec de mi-novembre à début mars (nuits fraîches, journées autour de 20°C). L'été (juin à octobre) est chaud et relativement pluvieux, avec des averses en fin de journée. Les mois de mars à mai peuvent être les plus chauds (jusqu'à 33-34°C).",105,"Novembre à Mai (avec des prix plus bas en avril-mai et septembre-octobre, et forte affluence en novembre pour le Jour des Morts et décembre)","[850, 790, 634, 820, 900, 1000, 1229, 1266, 950, 598, 900, 880]","[""Culture"", ""Gastronomie"", ""Artisanat"", ""Sites archéologiques"", ""Architecture coloniale"", ""Marchés"", ""Nature"", ""Festivals""]"
